question,answer,contexts,ground_truth,faithfulness,answer_relevancy,context_precision,context_recall
Was Lincoln chosen as a presidential candidate in 1860?,Lincoln was eventually chosen as the Republican candidate for the 1860 election for several reasons.,"['Entering the presidential nomination process as a distinct underdog, Lincoln was eventually chosen as the Republican candidate for the 1860 election for several reasons. His expressed views on slavery were seen as more moderate than those of rivals William H. Seward and Salmon P. Chase. His ""Western"" origins also appealed to the newer states: other contenders, especially those with more governmental experience, had acquired enemies within the party and were weak in the critical western states, while Lincoln was perceived as a moderate who could win the West. Most Republicans agreed with Lincol']",Yes,,0.9302957760932683,0.9999999999,1.0
Who was the general in charge at the Battle of Antietam?,Allan Pinkerton,"['Lincoln, in top hat, with Allan Pinkerton and Gen. John Alexander McClernand at Antietam.']",General McClellan,0.0,0.9040294140345603,0.0,0.0
Who appointed Harlan Fiske Stone to the Supreme Court?,Coolidge,"[""Coolidge appointed one Justice to the Supreme Court of the United States, Harlan Fiske Stone in 1925. Stone was Coolidge's fellow Amherst alumnus and was serving as dean of Columbia Law School when Coolidge appointed him to be Attorney General in 1924. He appointed Stone to the Supreme Court in 1925, and the Senate approved the nomination. Fuess, 364  Stone was later appointed Chief Justice by President Franklin D. Roosevelt.""]",Coolidge,1.0,0.875004291946334,0.9999999999,1.0
When did Coolidge meet and marry Grace Anna Goodhue?,1905,"['In 1905 Coolidge met and married Grace Anna Goodhue, a local schoolteacher and fellow Vermonter. They were opposites in personality: she was talkative and fun-loving, while Coolidge was quiet and serious. Greenberg, 58â\x80\x9359  Not long after their marriage, Coolidge handed her a bag with fifty-two pairs of socks in it, all of them full of holes. Grace\'s reply was ""Did you marry me to darn your socks?"" Without cracking a smile and with his usual seriousness, Calvin answered, ""No, but I find it mighty handy."" Telleen, Maurice.  The Days Before Yesterday: 75 years ago. The Draft Horse Journal, Autu']",1905,1.0,0.9921064971821799,0.9999999999,1.0
Did Lincoln start his political career in 1832?,yes,"['Lincoln began his political career in 1832, at age 23, with an unsuccessful campaign for the Illinois General Assembly, as a member of the Whig Party.  He ran eighth in a field of 13 candidates.  The centerpiece of his platform was the undertaking of navigational improvements on the Sangamon River. He believed that this would attract steamboat traffic, which would allow the sparsely populated, poorer areas along the river to flourish.']",Yes,1.0,0.9656516047928845,0.9999999999,1.0
Was Celsius born in Uppsala in Sweden?,yes,"['Celsius was born in Uppsala in Sweden. He was professor of astronomy at Uppsala University from 1730 to 1744, but traveled from 1732 to 1735 visiting notable observatories in Germany, Italy and France.']",Yes,1.0,0.9792084988278548,0.9999999999,0.5
Did Lincoln ever represent Alton & Sangamon Railroad?,yes,"[""By the mid-1850s, Lincoln's caseload focused largely on the competing transportation interests of river barges and railroads. In one prominent 1851 case, he represented the Alton & Sangamon Railroad in a dispute with a shareholder, James A. Barret. Barret had refused to pay the balance on his pledge to the railroad on the grounds that it had changed its originally planned route. Lincoln argued that as a matter of law a corporation is not bound by its original charter when that charter can be amended in the public interest, that the newer route proposed by Alton & Sangamon was superior and less""]",Yes,1.0,0.9739297797650993,0.9999999999,1.0
Is the Celsius crater on the Moon named after him ?,The Celsius crater on the Moon is named after him.,['The Celsius crater on the Moon is named after him.'],Yes,1.0,0.951712966134384,0.9999999999,1.0
When was Coolidge born?,July 4 1872,"[""John Calvin Coolidge Jr. was born in Plymouth, Windsor County, Vermont, on July 4 1872, the only U.S. President to be born on the fourth of July. He was the elder of two children of John Calvin Sr. and Victoria Coolidge. The Coolidge family had deep roots in New England. His earliest American ancestor, John Coolidge, emigrated from Cambridge, England, around 1630 and settled in Watertown, Massachusetts. Fuess, 12  Coolidge's great-great-grandfather, also named John Coolidge, was an American army officer in the American Revolution, and was one of the first selectmen of the town of Plymouth Notc""]",July 4 1872,1.0,0.9459417565661781,0.9999999999,1.0
Are beetles endopterygotes?,yes,['Beetles are endopterygotes with complete metamorphosis.'],yes,1.0,0.9879987288498501,0.9999999999,1.0
Are many beetles territorial?,yes,"['Conflict can play a part in the mating rituals of species such as burying beetles (genus Nicrophorus) where conflicts between males and females rage until only one of each is left, thus ensuring reproduction by the strongest and fittest. Many beetles are territorial and will fiercely defend their small patch of territory from intruding males.']",Yes.,1.0,0.880073085869967,0.9999999999,1.0
How can beetle larvae be differentiated from other insect larvae?,"by their hardened, often darkened head, the presence of chewing mouthparts, and spiracles","['Beetle larvae can be differentiated from other insect larvae by their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body. Like adult beetles, the larvae are varied in appearance, particularly between beetle families. Beetles whose larvae are somewhat flattened and are highly mobile are the ground beetles, some rove beetles, and others; their larvae are described as campodeiform. Some beetle larvae resemble hardened worms with dark head capsules and minute legs. These are elateriform larvae, and are found in the click beetle (Elateridae)']","their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body",,0.9999999999999999,0.9999999999,1.0
When did Lincoln first serve as President?,"November 6, 1860","['On November 6, 1860, Lincoln was elected as the 16th President of the United States, beating Democrat Stephen A. Douglas, John C. Breckinridge of the Southern Democrats, and John Bell of the new Constitutional Union Party. He was the first Republican president, winning entirely on the strength of his support in the North: he was not even on the ballot in nine states in the South, and won only 2 of 996 counties in the other Southern states. Lincoln gained 1,865,908 votes (39.9% of the total), for 180 electoral votes; Douglas, 1,380,202 (29.5%) for 12 electoral votes; Breckenridge, 848,019 (18.1']","March 4, 1861",0.0,0.9159853362036738,0.9999999999,0.0
What happened in 1745?,he sponsored and helped some Sardinian plotters who were organising a revolution in that island,"[""Several historical studies confirm that he sponsored and helped some Sardinian plotters who were organising a revolution in that island, stopped at the very last moment by the concession of Charles Albert's statute. Some doubts however remain, considering the very slight evidence.""]",The scale was reversed,1.0,0.7718428869393005,0.0,0.0
What happened on plants and fungi?,"They interact with their ecosystems in several ways. They often feed on plants and fungi, break down animal and","['Beetles can be found in almost all habitats, but are not known to occur in the sea or in the polar regions. They interact with their ecosystems in several ways. They often feed on plants and fungi, break down animal and plant debris, and eat other invertebrates. Some species are prey of various animals including birds and mammals. Certain species are agricultural pests, such as the Colorado potato beetle Leptinotarsa decemlineata, the boll weevil Anthonomus grandis, the red flour beetle Tribolium castaneum, and the mungbean or cowpea beetle Callosobruchus maculatus, while other species of beet']",They are food to beetles.,0.0,0.8086097251635961,0.9999999999,1.0
What do beetles eat?,invertebrates,"['Beetles can be found in almost all habitats, but are not known to occur in the sea or in the polar regions. They interact with their ecosystems in several ways. They often feed on plants and fungi, break down animal and plant debris, and eat other invertebrates. Some species are prey of various animals including birds and mammals. Certain species are agricultural pests, such as the Colorado potato beetle Leptinotarsa decemlineata, the boll weevil Anthonomus grandis, the red flour beetle Tribolium castaneum, and the mungbean or cowpea beetle Callosobruchus maculatus, while other species of beet']","Some are generalists, eating both plants and animals. Other beetles are highly specialised in their diet.",1.0,0.9052611449141432,0.9999999999,0.5
Did Coolidge graduate from Black River Academy?,No,"['Coolidge graduated from Black River Academy, Vermont, but failed his initial entrance exam to Amherst College.  Vermont Historical Society biography of Calvin Coolidge accessed December 6 2007  He spent one term at St. Johnsbury Academy, Vermont before entering Amherst.  Accomplished alumni. Amherst College, where he was a member of the Fraternity of Phi Gamma Delta. Retrieved on May 18, 2007  He dropped John from his name upon graduating from college. At Amherst, Coolidge became a member of the Fraternity of Phi Gamma Delta and joined the College Republicans in 1892. White, 35  While there, C']",yes,0.0,0.0,0.9999999999,0.5
Are beetles insects?,yes,"['Beetles are a group of insects which have the largest number of species. They are placed in the order Coleoptera,which means ""sheathed wing"" and contains more described species than in any other order in the animal kingdom, constituting about twenty-five percent of all known life-forms. James K. Liebherr and Joseph V. McHugh in Resh, V. H. & R. T. CardÃ© (Editors) 2003. Encyclopedia of Insects. Academic Press.  Forty percent of all described insect species are beetles (about 350,000 species ), and new species are frequently discovered. Estimates put the total number of species, described and u']",Yes,1.0,0.9253702298557726,0.9999999999,1.0
Have coleopterists formed organisations to facilitate the study of beetles ?,Coleopterists have formed organisations to facilitate the study of beetles.,"['The study of beetles is called coleopterology, and its practitioners are coleopterists. Coleopterists have formed organisations to facilitate the study of beetles. Among these is The Coleopterists Society, an international organisation based in the United States. Such organisations may have both professionals and amateurs interested in beetles as members.']",Yes.,1.0,0.9477732896541319,0.9999999999,1.0
"Is the study of beetles called coleopterology , and its practitioners are coleopterists ?",Coleopterists have formed organisations to facilitate the study of beetles. Among these is The Coleopter,"['The study of beetles is called coleopterology, and its practitioners are coleopterists. Coleopterists have formed organisations to facilitate the study of beetles. Among these is The Coleopterists Society, an international organisation based in the United States. Such organisations may have both professionals and amateurs interested in beetles as members.']",Yes.,1.0,0.9216766271686915,0.9999999999,1.0
Where did Coolidge's grandfather had government offices?,Plymouth,"['Coolidge\'s grandfather, Calvin Coolidge, held some local government offices in Plymouth and was best remembered as a man with ""a fondness for practical jokes"". Fuess, 14  His grandmother, Sarah Brewer, was also of New England. It is through this ancestor that Coolidge claimed to be descended in part from American Indians. McCoy, 5  Coolidge\'s father was also a farmer, but spent some time as a schoolteacher and justice of the peace. Fuess, 16  His mother, Victoria Josephine Moor Coolidge, was the daughter of another Plymouth Notch farmer. Fuess, 17  Coolidge\'s mother was chronically ill, possib']",Plymouth,1.0,0.8615802536678574,0.9999999999,1.0
Did lincoln have 18 months of schooling?,yes,"[""Lincoln's formal education consisted of about 18 months of schooling. Largely self-educated, he read every book he could get his hands on, once walking.  just to borrow one  While his favorite book was The Life of George Washington, Lincoln mastered the Bible, Shakespeare, and English and American history, and developed a plain writing style that puzzled audiences more used to grandiose rhetoric. He was also a talented local wrestler and skilled with an ax; some rails he had allegedly split in his youth were exhibited at the 1860 Republican National Convention, as the party celebrated the poor""]",Yes,1.0,0.9202401227736609,0.9999999999,1.0
What is the study of beetles called?,coleopterology,"['The study of beetles is called coleopterology, and its practitioners are coleopterists. Coleopterists have formed organisations to facilitate the study of beetles. Among these is The Coleopterists Society, an international organisation based in the United States. Such organisations may have both professionals and amateurs interested in beetles as members.']",coleopterology,1.0,0.9999999999999996,0.9999999999,1.0
When did the Gettysburg address argue that America was born?,1789,"['In his Gettysburg Address Lincoln redefined the American nation, arguing that it was born not in 1789 but in 1776, ""conceived in Liberty, and dedicated to the proposition that all men are created equal."" He declared that the sacrifices of battle had rededicated the nation to the propositions of democracy and equality, ""that this nation shall have a new birth of freedom â\x80\x94 and that government of the people, by the people, for the people, shall not perish from the earth."" By emphasizing the centrality of the nation, he rebuffed the claims of state sovereignty. While some critics say Lincoln mov']",1776,0.0,0.8554685344915688,0.9999999999,1.0
When did he publish a collection?,1841,"[""In 1841 he completed and published his work in Fisica dei corpi ponderabili, ossia Trattato della costituzione materiale de' corpi, 4 volumes.""]",1733,1.0,0.8506497972847492,0.0,0.0
Which defense mechanism uses colour or shape to deceive potential enemies?,mimicry,"['Another defence that often uses colour or shape to deceive potential enemies is mimicry. A number of longhorn beetles (family Cerambycidae) bear a striking resemblance to wasps, which fools predators into keeping their distance even though the beetles are in fact harmless. This defence can be found to a lesser extent in other beetle families, such as the scarab beetles. Beetles may combine their colour mimicry with behavioural mimicry, acting like the wasps they already closely resemble.']",mimicry,,0.9863159516029231,0.9999999999,1.0
"Was Calvin Coolidge born in Plymouth, Windsor County, Vermont?",yes,"[""John Calvin Coolidge Jr. was born in Plymouth, Windsor County, Vermont, on July 4 1872, the only U.S. President to be born on the fourth of July. He was the elder of two children of John Calvin Sr. and Victoria Coolidge. The Coolidge family had deep roots in New England. His earliest American ancestor, John Coolidge, emigrated from Cambridge, England, around 1630 and settled in Watertown, Massachusetts. Fuess, 12  Coolidge's great-great-grandfather, also named John Coolidge, was an American army officer in the American Revolution, and was one of the first selectmen of the town of Plymouth Notc""]",yes,1.0,0.8910626770903839,0.9999999999,1.0
Is the Adephaga suborder larger than the Polyphaga suborder?,no,"['These suborders diverged in the Permian and Triassic. Their phylogenetic relationship is uncertain, with the most popular hypothesis being that Polyphaga and Myxophaga are most closely related, with Adephaga as the sister group to those two, and Archostemata as sister to the other three collectively.']",no,0.0,0.0,0.0,0.0
Who determined the dependence of the boiling of water with atmospheric pressure?,Anders Celsius,"['Anders Celsius was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds. In his Swedish paper ""Observations of two persistent degrees on a thermometer"" he reports on experiments to check that the freezing point is independent of latitude (and of atmospheric pressure). He determined the dependence of the boiling of water with atmospheric pressure (in excellent agreement with modern data). He further gave a rule for the determination of the boiling point if the barometric pressure deviates from a certain standar']",Anders Celsius,1.0,0.8256512030074018,0.9999999999,1.0
Was Abraham Lincoln the first President of the United States?,yes,"['On November 6, 1860, Lincoln was elected as the 16th President of the United States, beating Democrat Stephen A. Douglas, John C. Breckinridge of the Southern Democrats, and John Bell of the new Constitutional Union Party. He was the first Republican president, winning entirely on the strength of his support in the North: he was not even on the ballot in nine states in the South, and won only 2 of 996 counties in the other Southern states. Lincoln gained 1,865,908 votes (39.9% of the total), for 180 electoral votes; Douglas, 1,380,202 (29.5%) for 12 electoral votes; Breckenridge, 848,019 (18.1']",No,0.0,0.89286808159609,0.9999999999,0.0
What are the three sections of a beetle?,"head, the thorax, and the abdomen","['The general anatomy of beetles is quite uniform, although specific organs and appendages may vary greatly in appearance and function between the many families in the order. Like all insects, beetles\' bodies are divided into three sections: the head, the thorax, and the abdomen. When viewed from below, the thorax is that part from which all three pairs of legs and both pairs of wings arise. The abdomen is everything posterior to the thorax. When viewed from above, most beetles appear to have three clear sections, but this is deceptive: on the beetle\'s upper surface, the middle ""section"" is a ha']","the head, the thorax, and the abdomen",,0.9815367906634628,0.9999999999,1.0
Did Lincoln win the election of 1860?,yes,"['On November 6, 1860, Lincoln was elected as the 16th President of the United States, beating Democrat Stephen A. Douglas, John C. Breckinridge of the Southern Democrats, and John Bell of the new Constitutional Union Party. He was the first Republican president, winning entirely on the strength of his support in the North: he was not even on the ballot in nine states in the South, and won only 2 of 996 counties in the other Southern states. Lincoln gained 1,865,908 votes (39.9% of the total), for 180 electoral votes; Douglas, 1,380,202 (29.5%) for 12 electoral votes; Breckenridge, 848,019 (18.1']",Yes,1.0,0.98250456432823,0.9999999999,1.0
Who was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds ?,Anders Celsius,"['Anders Celsius was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds. In his Swedish paper ""Observations of two persistent degrees on a thermometer"" he reports on experiments to check that the freezing point is independent of latitude (and of atmospheric pressure). He determined the dependence of the boiling of water with atmospheric pressure (in excellent agreement with modern data). He further gave a rule for the determination of the boiling point if the barometric pressure deviates from a certain standar']",Anders Celsius,,0.9016264928441858,0.9999999999,1.0
Did his mother die of pneumonia?,yes,"[""Alice Hathaway Lee Roosevelt (July 29, 1861 in Chestnut Hill, Massachusetts â\x80\x93 February 14 1884 in Manhattan, New York) was the first wife of Theodore Roosevelt and mother of their only child together, Alice Lee Roosevelt.  Alice Roosevelt died of an undiagnosed case of Bright's Disease two days after Alice Lee was born.  Theodore Roosevelt's mother Mittie died of Typhoid fever in the same house on the same day, Feb. 14, 1884.  After the simultaneous deaths of his mother and wife, Roosevelt left his daughter in the care of his sister in New York and moved out to Dakota Territory.""]",no,0.0,0.7663087237969751,0.9999999999,1.0
"Was Amedeo Avogadro born in Turin August 9th 1776 to a noble ancient family of Piedmont, Italy?",yes,"['Amedeo Avogadro was born in Turin August 9th 1776 to a noble ancient family of Piedmont,  Italy.']",yes,,0.966691996989996,0.9999999999,1.0
What happened from 1730 to 1744?,A series of four Intercolonial Wars erupted,"[""The English established fishing outposts in Newfoundland around 1610 and colonized the Thirteen Colonies to the south. A series of four Intercolonial Wars erupted between 1689 and 1763. Mainland Nova Scotia came under British rule with the Treaty of Utrecht (1713); the Treaty of Paris (1763) ceded Canada and most of New France to Britain following the Seven Years' War.""]",He was professor of astronomy at Uppsala University,1.0,0.8894989275259068,0.0,0.0
Was Calvin Coolidge the twenty-ninth vice president?,yes,"['John Calvin Coolidge, Jr. (July 4 1872   January 5 1933), more commonly known as Calvin Coolidge, was the thirtieth President of the United States (1923â\x80\x931929).  A lawyer from Vermont, Coolidge worked his way up the ladder of Massachusetts state politics, eventually becoming governor of that state. His actions during the Boston Police Strike of 1919 thrust him into the national spotlight. Soon after, he was elected as the twenty-ninth Vice President in 1920 and succeeded to the Presidency upon the death of Warren G. Harding. Elected in his own right in 1924, he gained a reputation as a small-']",no,1.0,0.9427140564954636,0.0,1.0
Of what state was Coolidge governor?,Massachusetts,"['John Calvin Coolidge, Jr. (July 4 1872   January 5 1933), more commonly known as Calvin Coolidge, was the thirtieth President of the United States (1923â\x80\x931929).  A lawyer from Vermont, Coolidge worked his way up the ladder of Massachusetts state politics, eventually becoming governor of that state. His actions during the Boston Police Strike of 1919 thrust him into the national spotlight. Soon after, he was elected as the twenty-ninth Vice President in 1920 and succeeded to the Presidency upon the death of Warren G. Harding. Elected in his own right in 1924, he gained a reputation as a small-']",MassachuS08_setts,1.0,0.97289493004243,0.9999999999,1.0
Do carrion beetles eat dung?,yes,"['Decaying organic matter is a primary diet for many species. This can range from dung, which is consumed by coprophagous species such as certain scarab beetles (family Scarabaeidae), to dead animals, which are eaten by necrophagous species such as the carrion beetles (family Silphidae). Some of the beetles found within dung and carrion are in fact predatory, such as the clown beetles, preying on the larvae of coprophagous and necrophagous insects.']",no,0.0,0.8136283408460919,0.0,0.0
Was Calvin Coolidge a governor of MassachuS08_setts?,yes,"['John Calvin Coolidge, Jr. (July 4 1872   January 5 1933), more commonly known as Calvin Coolidge, was the thirtieth President of the United States (1923â\x80\x931929).  A lawyer from Vermont, Coolidge worked his way up the ladder of Massachusetts state politics, eventually becoming governor of that state. His actions during the Boston Police Strike of 1919 thrust him into the national spotlight. Soon after, he was elected as the twenty-ninth Vice President in 1920 and succeeded to the Presidency upon the death of Warren G. Harding. Elected in his own right in 1924, he gained a reputation as a small-']",Yes,1.0,0.8937328603549987,0.9999999999,1.0
Did Lincoln beat John C. Breckinridge in the 1860 election?,yes,"['On November 6, 1860, Lincoln was elected as the 16th President of the United States, beating Democrat Stephen A. Douglas, John C. Breckinridge of the Southern Democrats, and John Bell of the new Constitutional Union Party. He was the first Republican president, winning entirely on the strength of his support in the North: he was not even on the ballot in nine states in the South, and won only 2 of 996 counties in the other Southern states. Lincoln gained 1,865,908 votes (39.9% of the total), for 180 electoral votes; Douglas, 1,380,202 (29.5%) for 12 electoral votes; Breckenridge, 848,019 (18.1']",yes,1.0,0.8920843487072713,0.9999999999,0.0
Do scholars rank lincoln among the top three presidents?,yes,"['Scholars now rank Lincoln among the top three U.S. Presidents, with the majority of those surveyed placing him first. He is noted for his lasting influence on U.S. politics, including a redefinition of republicanism.  As Diggins explains, ""Lincoln presented Americans a theory of history that offers a profound contribution to the theory and destiny of republicanism itself."" John Patrick Diggins, The Lost Soul of American Politics: Virtue, Self-interest, and the Foundations of Liberalism (1986) p. 307. Foner (1970) p. 215 noted that, ""Lincoln stressed the moral basis of Republicanism."" Jaffa (20']",Yes,1.0,0.9320717424902654,0.9999999999,1.0
When did Lincoln begin his political career?,1832,"['Lincoln began his political career in 1832, at age 23, with an unsuccessful campaign for the Illinois General Assembly, as a member of the Whig Party.  He ran eighth in a field of 13 candidates.  The centerpiece of his platform was the undertaking of navigational improvements on the Sangamon River. He believed that this would attract steamboat traffic, which would allow the sparsely populated, poorer areas along the river to flourish.']",1832,1.0,0.9882386512329321,0.9999999999,1.0
Was Lorenzo Romano Amedeo Carlo Avogadro an Italian savant?,yes,"[""Lorenzo Romano Amedeo Carlo Avogadro, Count of Quaregna and Cerreto (August 9, 1776 July 9, 1856) was an Italian savant.  He is most noted for his contributions to the theory of molarity and molecular weight. As a tribute to him, the number of elementary entities (atoms, molecules, ions or other particles) in one mole of a substance, 6.02214199x10 23 , is known as Avogadro's number.""]",yes,1.0,0.8712693948970257,0.9999999999,1.0
What did The Legal Tender Act of 1862 establish?,United States Note,"['The Legal Tender Act of 1862 established the United States Note, the first paper currency in United States history.  This was done to increase the money supply to pay for fighting the war.']","the United States Note, the first paper currency in United States history",1.0,0.9808404584660483,0.9999999999,1.0
Was Celsius born in Uppsala in Sweden ?,Celsius was born in Uppsala in Sweden.,"['Celsius was born in Uppsala in Sweden. He was professor of astronomy at Uppsala University from 1730 to 1744, but traveled from 1732 to 1735 visiting notable observatories in Germany, Italy and France.']",Yes,1.0,0.9236708357392155,0.9999999999,0.5
Why did Lincoln issue the Emancipation Proclamation?,freed slaves in territories not under Union control,"['The Emancipation Proclamation, announced on September 22 and put into effect on January 1, 1863, freed slaves in territories not under Union control. As Union armies advanced south, more slaves were liberated until all of them in Confederate hands (over three million) were freed. Lincoln later said: ""I never, in my life, felt more certain that I was doing right, than I do in signing this paper."" The proclamation made the abolition of slavery in the rebel states an official war goal. Lincoln then threw his energies into passage of the Thirteenth Amendment to permanently abolish slavery througho']",To free slaves ,,0.9041468565688083,0.9999999999,1.0
